ordem_item;categoria;nome_item;nivel;rotulo_original;preco_bruto_centavos;preco_reais;desativado_na_fonte;source_id;json_pointer;status_revisao;observacoes_ike
114;Drinks Autorais;Caju Amigo Do Meet&Eat;opcao;[sem rotulo];5600;56,00;false;698bbb961909443c72e53535;/body/2/menus/4/menuItems/0/options/0;PENDENTE;
115;Drinks Autorais;Darkness;opcao;[sem rotulo];5600;56,00;false;65cba26fb4cea6006abcdd49;/body/2/menus/4/menuItems/1/options/0;PENDENTE;
116;Drinks Autorais;Holy Grass;opcao;[sem rotulo];5800;58,00;false;6a4951546ae208b30e6ed5c5;/body/2/menus/4/menuItems/2/options/0;PENDENTE;
117;Drinks Autorais;Summer Mule;opcao;[sem rotulo];5600;56,00;false;68f2ab7e5bd06488cd4b53b3;/body/2/menus/4/menuItems/3/options/0;PENDENTE;
118;Drinks Autorais;No Name;opcao;[sem rotulo];5600;56,00;false;65cba611b4cea6006abce6c6;/body/2/menus/4/menuItems/4/options/0;PENDENTE;
119;Drinks Autorais;Raio de Sol;opcao;[sem rotulo];5600;56,00;false;666b73d6d91d31d1821100bc;/body/2/menus/4/menuItems/5/options/0;PENDENTE;
120;Drinks Autorais;Passion Fitz;opcao;[sem rotulo];6700;67,00;false;66e0bddd22a75a1032aa4dcc;/body/2/menus/4/menuItems/6/options/0;PENDENTE;
121;Drinks Autorais;Relicario;opcao;[sem rotulo];5200;52,00;false;68f2abb25bd06488cd4b6381;/body/2/menus/4/menuItems/7/options/0;PENDENTE;
122;Drinks Autorais;Belissimo;opcao;[sem rotulo];4600;46,00;false;68f50764362b8a3fea580a56;/body/2/menus/4/menuItems/8/options/0;PENDENTE;
123;Drinks Autorais;Aurora rosa;opcao;[sem rotulo];6700;67,00;false;6a0cc27a203b45ec8ba43ffb;/body/2/menus/4/menuItems/9/options/0;PENDENTE;
124;Drinks Autorais;Amaranto;opcao;[sem rotulo];6700;67,00;false;6a0cc2c2203b45ec8ba44402;/body/2/menus/4/menuItems/10/options/0;PENDENTE;
125;Drinks Autorais;Irish sunset;opcao;[sem rotulo];6700;67,00;false;6a0cc321203b45ec8ba4485f;/body/2/menus/4/menuItems/11/options/0;PENDENTE;
126;Drinks;Aperol Spritz;opcao;[sem rotulo];5200;52,00;false;6a4950276ae208b30e6e978e;/body/2/menus/5/menuItems/0/options/0;PENDENTE;
127;Drinks;Bloody Mary;opcao;Grey Goose;5600;56,00;false;674a53228c0d74ef69d1485b;/body/2/menus/5/menuItems/1/options/0;PENDENTE;
128;Drinks;Boulevardier;opcao;[sem rotulo];5800;58,00;false;649b3e69f484b3005288e7fd;/body/2/menus/5/menuItems/2/options/0;PENDENTE;
129;Drinks;Carajillo;opcao;[sem rotulo];5200;52,00;false;668849656ececfaa5131d73c;/body/2/menus/5/menuItems/3/options/0;PENDENTE;
130;Drinks;Cosmopolitan Meet;opcao;Grey Goose;5600;56,00;false;68f3e6088bff0a54e7fd989a;/body/2/menus/5/menuItems/4/options/0;PENDENTE;
131;Drinks;Dry Martini;opcao;Bombay Sapphire;4800;48,00;false;6a2d77ce5f1b7fe38c88d171;/body/2/menus/5/menuItems/5/options/0;PENDENTE;
131;Drinks;Dry Martini;opcao;Hendricks;6200;62,00;false;6a2d77ce5f1b7fe38c88d172;/body/2/menus/5/menuItems/5/options/1;PENDENTE;
132;Drinks;Espresso Martini;opcao;Greey Goose;5600;56,00;false;68c30d79212553608e2dea75;/body/2/menus/5/menuItems/6/options/0;PENDENTE;
133;Drinks;Fitzgerald;opcao;Bombay Sapphire;5800;58,00;false;6a49506e6ae208b30e6ea5c1;/body/2/menus/5/menuItems/7/options/0;PENDENTE;
133;Drinks;Fitzgerald;opcao;Hendricks;6600;66,00;false;6a49506e6ae208b30e6ea5c2;/body/2/menus/5/menuItems/7/options/1;PENDENTE;
134;Drinks;Gimlet;opcao;Bombay;4800;48,00;false;6a38938d7d9b6adfc1be27c7;/body/2/menus/5/menuItems/8/options/0;PENDENTE;
135;Drinks;Lillet Vive;opcao;[sem rotulo];5200;52,00;false;640657e3051cbc005210389a;/body/2/menus/5/menuItems/9/options/0;PENDENTE;
136;Drinks;Limoncello Spritz;opcao;[sem rotulo];5200;52,00;false;6534302afbc78b005a6f64c6;/body/2/menus/5/menuItems/10/options/0;PENDENTE;
