ordem_item;categoria;nome_item;nivel;rotulo_original;preco_bruto_centavos;preco_reais;desativado_na_fonte;source_id;json_pointer;status_revisao;observacoes_ike
236;Vinho Tinto;Santa Magdalena Reserva Syrah;opcao;[sem rotulo];20000;200,00;false;69165b15308a9fdeff43731f;/body/3/menus/4/menuItems/3/options/0;PENDENTE;
237;Vinho Tinto;Catena Zapata Angelica Zapata Cabernet Franc Alta;opcao;[sem rotulo];60000;600,00;false;68c4941536bd68f44e7c1ba0;/body/3/menus/4/menuItems/4/options/0;PENDENTE;
238;Vinho Tinto;JACOPO BIONDI SANTI SASSOALORO;opcao;[sem rotulo];78000;780,00;false;69178b23308a9fdeff64b5a6;/body/3/menus/4/menuItems/5/options/0;PENDENTE;
239;Vinho Tinto;Pisano Rpf Petit Verdot;opcao;[sem rotulo];41500;415,00;false;672e8d35eae94ac3629fd6a1;/body/3/menus/4/menuItems/6/options/0;PENDENTE;
240;Vinho Tinto;Clos Apalta;opcao;[sem rotulo];357000;3570,00;false;672f8436eae94ac362d9882f;/body/3/menus/4/menuItems/7/options/0;PENDENTE;
241;Vinho Tinto;Brunello Di Montalcino Gaja;opcao;[sem rotulo];250000;2500,00;false;6855d39225dde101afb9e205;/body/3/menus/4/menuItems/8/options/0;PENDENTE;
242;Vinho Tinto;Catena Zapata Estiba Reservada;opcao;[sem rotulo];456000;4560,00;false;672f87a7332fc70f16ae2a24;/body/3/menus/4/menuItems/9/options/0;PENDENTE;
243;Vinho Tinto;Alión Ribera del Duero;opcao;[sem rotulo];298000;2980,00;false;68c48f4136bd68f44e7b1705;/body/3/menus/4/menuItems/10/options/0;PENDENTE;
244;Vinho Tinto;Pintia;opcao;[sem rotulo];237000;2370,00;false;6855d512fa436aaa7187f44b;/body/3/menus/4/menuItems/11/options/0;PENDENTE;
245;Vinho Tinto;Caymus cabernet sauvignon;opcao;[sem rotulo];258000;2580,00;false;672f8e1c2cce05a07923640e;/body/3/menus/4/menuItems/12/options/0;PENDENTE;
246;Vinho Tinto;Amayna Syrah;opcao;[sem rotulo];65000;650,00;false;67c4b0203da266f1f8f70a01;/body/3/menus/4/menuItems/13/options/0;PENDENTE;
247;Vinho Tinto;Meandro do Vale Meão;opcao;[sem rotulo];59000;590,00;false;68c494653276e01a50054af6;/body/3/menus/4/menuItems/14/options/0;PENDENTE;
248;Vinho Tinto;Catena Zapata Malbec Argentino Catena Zapata;opcao;[sem rotulo];228000;2280,00;false;68c48f9036bd68f44e7b21e7;/body/3/menus/4/menuItems/15/options/0;PENDENTE;
249;Vinho Tinto;Vosne Romanee;opcao;[sem rotulo];336000;3360,00;false;672f9a2ceae94ac362ece973;/body/3/menus/4/menuItems/16/options/0;PENDENTE;
250;Vinho Tinto;Roberto Riga;opcao;[sem rotulo];21000;210,00;false;6848a36f34dc829a48ebc110;/body/3/menus/4/menuItems/17/options/0;PENDENTE;
251;Vinho Tinto;Roccabaro chianti Reserva;opcao;[sem rotulo];31000;310,00;false;6aa9605a9d12d6d0f58026d9;/body/3/menus/4/menuItems/18/options/0;PENDENTE;
252;Vinho Tinto;Vallontano LH Zanini;opcao;[sem rotulo];39000;390,00;false;68a1f1848eb3b14989e4b025;/body/3/menus/4/menuItems/19/options/0;PENDENTE;
253;Vinho Tinto;Bourgogne Rouge;opcao;[sem rotulo];81000;810,00;false;697e723feb20f30dc91d355c;/body/3/menus/4/menuItems/20/options/0;PENDENTE;
254;Vinho Tinto;DV Catena Cabernet-Malbec;opcao;[sem rotulo];59000;590,00;false;69d02a8f153e136f14e4120a;/body/3/menus/4/menuItems/21/options/0;PENDENTE;
255;Vinho Tinto;Kabbalah Merlot;opcao;[sem rotulo];21000;210,00;false;6a287ce9b06eb265391a0ef3;/body/3/menus/4/menuItems/22/options/0;PENDENTE;
256;Vinho Tinto;Santa Magdalena Signature Pinot Noir;opcao;[sem rotulo];20000;200,00;false;6a4195dcf7e4a80f13493cf6;/body/3/menus/4/menuItems/23/options/0;PENDENTE;
257;Vinho Tinto;Santa Magdalena Signature;opcao;[sem rotulo];20000;200,00;false;6a419907f7e4a80f1349c1d1;/body/3/menus/4/menuItems/24/options/0;PENDENTE;
258;Vinho Tinto;Vinã tarapaca Gran Reserva;opcao;[sem rotulo];30000;300,00;false;6a9c7eb915a8adbc65993262;/body/3/menus/4/menuItems/25/options/0;PENDENTE;
259;Vinho Tinto;"Passo dei sani 'Terre di chieti"" IGT";opcao;[sem rotulo];20000;200,00;false;6a889a91e740a15c2cdd0fac;/body/3/menus/4/menuItems/26/options/0;PENDENTE;
260;Vinho Tinto;Vega Sicília Único Reserva Especial;opcao;[sem rotulo];1559000;15590,00;false;6aa06db88128ef0828fca594;/body/3/menus/4/menuItems/27/options/0;PENDENTE;
261;Vinho Taça;Santa Magdalena Reserva Chardonnay;opcao;[sem rotulo];4900;49,00;false;6921db0956eeb58d87fb13f6;/body/3/menus/5/menuItems/0/options/0;PENDENTE;
262;Vinho Taça;Santa Magdalena Reserva Cabernet Sauvigon;opcao;[sem rotulo];4900;49,00;false;66a5585c38b48ff5715b9767;/body/3/menus/5/menuItems/1/options/0;PENDENTE;
263;Vinho Taça;Alamos Torrontés;opcao;[sem rotulo];5900;59,00;false;68c494e23276e01a500565b2;/body/3/menus/5/menuItems/2/options/0;PENDENTE;
264;Vinho Taça;Kabbalah Merlot;opcao;[sem rotulo];4800;48,00;false;69ea54c5276bf15b4422b4bd;/body/3/menus/5/menuItems/3/options/0;PENDENTE;
265;Vinho Taça;Kabbalah Rose 2024;opcao;[sem rotulo];4500;45,00;false;69ea549f276bf15b4422b082;/body/3/menus/5/menuItems/4/options/0;PENDENTE;
266;Vinho 375ml;Catena Chardonnay;opcao;[sem rotulo];21000;210,00;false;67465896973ffde09001c38e;/body/3/menus/6/menuItems/0/options/0;PENDENTE;
267;Vinho 375ml;Carmen Insigne Carmenere;opcao;[sem rotulo];10500;105,00;false;67901691c87ca3e6393813ea;/body/3/menus/6/menuItems/1/options/0;PENDENTE;
268;Vinho 375ml;Chateau marjosse;opcao;[sem rotulo];29000;290,00;false;6a9c7f2d15a8adbc659959a8;/body/3/menus/6/menuItems/2/options/0;PENDENTE;
269;Vinho 375ml;Vinã bujanda;opcao;[sem rotulo];15000;150,00;false;6a9c7f5015a8adbc659966c0;/body/3/menus/6/menuItems/3/options/0;PENDENTE;
270;Vinho Sobremesa;Vinho do Porto;opcao;[sem rotulo];6500;65,00;false;6659d9da56e3c4ab17c9c42a;/body/3/menus/7/menuItems/0/options/0;PENDENTE;
271;Vinho Sobremesa;Tokaji Oremus Latest Harvest;opcao;[sem rotulo];97000;970,00;false;67390fb5973ffde0908a6c49;/body/3/menus/7/menuItems/1/options/0;PENDENTE;
272;Vinho Sobremesa;Graham´s 20 Anos Tawny;opcao;[sem rotulo];9500;95,00;false;69dadba358b41df72915b468;/body/3/menus/7/menuItems/2/options/0;PENDENTE;
273;Rolha;Quarta Feira;opcao;[sem rotulo];15000;150,00;false;66194df6f20e57006b0bd14a;/body/3/menus/8/menuItems/0/options/0;PENDENTE;
274;Rolha;Quinta Feira;opcao;[sem rotulo];15000;150,00;false;66194e0de67629006bd2da6a;/body/3/menus/8/menuItems/1/options/0;PENDENTE;
275;Rolha;Sexta Feira;opcao;[sem rotulo];15000;150,00;false;66194e26f20e57006b0bd183;/body/3/menus/8/menuItems/2/options/0;PENDENTE;
276;Rolha;Sábado;opcao;[sem rotulo];15000;150,00;false;66194e35f20e57006b0bd199;/body/3/menus/8/menuItems/3/options/0;PENDENTE;
277;Rolha;Domingo;opcao;[sem rotulo];15000;150,00;false;66194e42f20e57006b0bd1aa;/body/3/menus/8/menuItems/4/options/0;PENDENTE;
