ordem_item;restaurant_id;source_product_id;categoria;produto;source_step_id;etapa;descricao_etapa;tipo_etapa;etapa_obrigatoria;quantidade_minima_etapa;quantidade_etapa;source_component_id;source_variant_id;nome_variante_componente;descricao;preco_reais;preco_bruto_api;tratamento_preco;ativo_na_fonte;quantidade_maxima_componente;source_file;json_pointer;status_revisao;observacoes_ike
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74751;94562;Bolinho da Vovó;Bolinho popular brasileiro de arroz com queijo.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/1;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74754;94565;Croqueta de Morcilla;Croquete de chouriço de sangue, crocante por fora e cremoso por dentro.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/2;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74755;94566;Golden Ball;Bolinha de queijo cremosa, servida com geleia de tomate.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/3;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74756;94567;Coxinha de Costela;Bolinho produzido com costela bovina desfiada e assada lentamente.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/4;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74757;94568;Tempurá de Milho;Petisco de origem japonesa da culinária contemporânea, grãos de milhos tostados, envolto de uma massa levíssima de tempurá. Servido com molho yellow-sauce.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/5;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74759;94570;Tataki de Atum;Lombo de atum selado na grelha, servido em fatias, com molho tonkatsu e tarê artesanal de gergelim.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/6;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74761;94572;Ostra Fresca;Ostra fresca de santa catarina, servidas com molho ponzu e ovas de capelim.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/7;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74762;94573;Ostras Gratinadas;Ostra grelhada na brasa com molho de queijo e parmesão ralado.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/8;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74763;94574;Steak Tartare Defumado;Prato clássico da gastronomia francesa - Filet mignon, picado na ponta da faca com alcaparras, picles, cebola roxa e um toque de molho inglês, servido com batata frêneze e chantilly dijon.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/9;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74764;94575;Beef Tonnato;Fatias fina de rosbife, coberto com aveludado molho tonnatom a base de maionese artesanal, atum, alcaparras e anchovas importadas, finalizados com atum fresco em cubos.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/10;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74765;94576;Carpaccio Parrileiro;Ojo de bife levemente selado, servido em fatias finas, com maionese de sriracha e mostarda dijon.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/11;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19365;Entradas;Opções disponíveis.;unica;false;1;1;74766;94577;Carpaccio Gratinado;Finas lâminas de carne angus gratinadas sobre cama de alface americana, cogumelos e fonduta de queijo.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/4/complements/12;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19366;Linguiças e Embutidos;;unica;false;1;1;74768;94581;Linguiça Apimentada;Embutido inovador que traz identidade da culinária texana e mexicana, a base de pernil suíno, queijo cheddar inglês e pimenta jalapenho.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/5/complements/0;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19366;Linguiças e Embutidos;;unica;false;1;1;74769;94580;Linguiça de Cachaça;Linguiça artesanal suina com adição de cachaça envelhecida em madeira de amburana.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/5/complements/1;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19366;Linguiças e Embutidos;;unica;false;1;1;74770;94579;LInguiça Frêneze;Linguiça artesanal com toque oriental, produzida a base de carne suína da raça nobre berkshire.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/5/complements/2;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19366;Linguiças e Embutidos;;unica;false;1;1;74771;94582;Morcilla;Linguiça a base de sangue e carne suína com nozes e uva passa.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/5/complements/3;PENDENTE;
