ordem;restaurant_id;categoria;caminho_categorias;source_category_ids;source_id;tipo_original;nome;descricao;preco_direto_centavos;preco_fonte_centavos;preco_fonte_reais;origem_preco;preco_json_pointer;json_pointer;opcoes;sinalizacoes;estado_fonte;status_revisao_humana;observacoes_ike
15;madonna_cucina;| Primi;Menu Principal > | Primi;691390df308a9fdefff0ca64 > 691391db308a9fdefff0f047;692723f44a2d3584de4c70b3;dish;Alla Carbonara;Massa longa, gema caipira, pecorino, guanciale e pimenta preta.;11900;11900;119,00;price direto;/0/menus/1/menuItems/5/price;/0/menus/1/menuItems/5;;;FONTE_VERIFICADA;PENDENTE;
16;madonna_cucina;| Pasta Vegetariana;Menu Principal > | Pasta Vegetariana;691390df308a9fdefff0ca64 > 691392db308a9fdefff119ac;691392ef308a9fdefff11d61;dish;Pasta di Zucca;Massa recheada com abóbora, picles de abóbora e creme de alho negro.;10400;10400;104,00;price direto;/0/menus/2/menuItems/0/price;/0/menus/2/menuItems/0;;;FONTE_VERIFICADA;PENDENTE;
17;madonna_cucina;| Pasta Vegetariana;Menu Principal > | Pasta Vegetariana;691390df308a9fdefff0ca64 > 691392db308a9fdefff119ac;691392fa308a9fdefff11f02;dish;Pasta Melanzane;Massa longa com berinjela, pomodoro e alcaparras.;10200;10200;102,00;price direto;/0/menus/2/menuItems/1/price;/0/menus/2/menuItems/1;;;FONTE_VERIFICADA;PENDENTE;
18;madonna_cucina;| Risotti;Menu Principal > | Risotti;691390df308a9fdefff0ca64 > 69139308308a9fdefff1211b;6913932d308a9fdefff127c8;dish;Funghi e Funghi Secchi;"Cogumelo fresco e cogumelo seco.
";13800;13800;138,00;price direto;/0/menus/3/menuItems/0/price;/0/menus/3/menuItems/0;;;FONTE_VERIFICADA;PENDENTE;
19;madonna_cucina;| Risotti;Menu Principal > | Risotti;691390df308a9fdefff0ca64 > 69139308308a9fdefff1211b;69139340308a9fdefff12ff1;dish;Tri Maiale;"Carne de porco em três versões.
";14800;14800;148,00;price direto;/0/menus/3/menuItems/1/price;/0/menus/3/menuItems/1;;;FONTE_VERIFICADA;PENDENTE;
20;madonna_cucina;| Secondi;Menu Principal > | Secondi;691390df308a9fdefff0ca64 > 6913934e308a9fdefff13355;6913935f308a9fdefff1368f;dish;Anatra;"Peito de pato, abóbora e bok choy.
";21900;21900;219,00;price direto;/0/menus/4/menuItems/0/price;/0/menus/4/menuItems/0;;;FONTE_VERIFICADA;PENDENTE;
21;madonna_cucina;| Secondi;Menu Principal > | Secondi;691390df308a9fdefff0ca64 > 6913934e308a9fdefff13355;69139379308a9fdefff13d6d;dish;Pesce del Giorno;Peixe do dia, gremolata de cítricos, creme de batata com mostarda djon e azeite de tomate;19600;19600;196,00;price direto;/0/menus/4/menuItems/1/price;/0/menus/4/menuItems/1;;;FONTE_VERIFICADA;PENDENTE;
22;madonna_cucina;| Secondi;Menu Principal > | Secondi;691390df308a9fdefff0ca64 > 6913934e308a9fdefff13355;69139384308a9fdefff13f1f;dish;Agnello;Cordeiro de longa cocção, aligot de mandioquinha e ervas frescas.;19800;19800;198,00;price direto;/0/menus/4/menuItems/2/price;/0/menus/4/menuItems/2;;;FONTE_VERIFICADA;PENDENTE;
23;madonna_cucina;| Secondi;Menu Principal > | Secondi;691390df308a9fdefff0ca64 > 6913934e308a9fdefff13355;699c8261b1ab052315312e98;dish;Wagyu;Chorizo de Wagyu selado, glace e capellini na manteiga e sálvia.;39600;39600;396,00;price direto;/0/menus/4/menuItems/3/price;/0/menus/4/menuItems/3;;;FONTE_VERIFICADA;PENDENTE;
24;madonna_cucina;| Dolci;Menu Principal > | Dolci;691390df308a9fdefff0ca64 > 69139391308a9fdefff141e6;6913939f308a9fdefff14375;dish;Tiramisù;"Mascarpone, crocante de cacau e café.
";6800;6800;68,00;price direto;/0/menus/5/menuItems/0/price;/0/menus/5/menuItems/0;;;FONTE_VERIFICADA;PENDENTE;
