ordem_item;restaurant_id;categoria;nome_item;source_item_id;source_option_id;rotulo_original;preco_bruto_centavos;preco_reais;promo_preco_bruto_centavos;promo_ativa;desativada;min_original;modifier_original;json_pointer;estado_fonte;status_revisao_humana;observacoes_ike
53;madonna_cucina;| Clássicos;Margarita;691b1b0c308a9fdefff6d9c1;692761c51286fbb165cd8569;;5800;58,00;0;false;false;0;False;/1/menus/4/menuItems/10/options/0;FONTE_VERIFICADA;PENDENTE;
54;madonna_cucina;| Clássicos;Gin & Tônica;69245eb16c464a20549b686a;692761f01286fbb165cd8f5e;;5200;52,00;0;false;false;0;False;/1/menus/4/menuItems/11/options/0;FONTE_VERIFICADA;PENDENTE;
55;madonna_cucina;| Clássicos;Carajillo;69245ecc6c464a20549b6af6;692762031286fbb165cd92db;;5400;54,00;0;false;false;0;False;/1/menus/4/menuItems/12/options/0;FONTE_VERIFICADA;PENDENTE;
56;madonna_cucina;| Clássicos Brasileiro;Macunaima;69245fd66c464a20549b99e7;6927625a1286fbb165cda56c;;5200;52,00;0;false;false;0;False;/1/menus/5/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
57;madonna_cucina;| Clássicos Brasileiro;Rabo de Galo;69245ff26c464a20549ba395;692762721286fbb165cdab23;;5200;52,00;0;false;false;0;False;/1/menus/5/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
58;madonna_cucina;| Mocktails;Bellini Bianco;691b1b8d308a9fdefff6e45f;6a0b8045235c51ddf5ce8fe9;;3600;36,00;0;false;false;0;False;/1/menus/6/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
59;madonna_cucina;| Mocktails;Acqua Verde;691b1bcc308a9fdefff6eb4d;6a0b8023235c51ddf5ce8d81;;3400;34,00;0;false;false;0;False;/1/menus/6/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
60;madonna_cucina;Cervejas;Birra Moretti;691b1d25308a9fdefff70cd2;69e104c6f47310911560f09f;;6600;66,00;0;false;false;0;False;/1/menus/7/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
61;madonna_cucina;| Softs;Água Sem Gás;691b1d08308a9fdefff70906;69e105b8f4731091156125ed;;1200;12,00;0;false;false;0;False;/1/menus/8/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
62;madonna_cucina;| Softs;Água com Gás;691b1ce3308a9fdefff70541;69e105c8f473109115612823;;1200;12,00;0;false;false;0;False;/1/menus/8/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
63;madonna_cucina;| Softs;Aqua Panna;691b1d17308a9fdefff709f1;69e0f7339564903b73d23711;;3600;36,00;0;false;false;0;False;/1/menus/8/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
64;madonna_cucina;| Softs;San Pellegrino;691b1c09308a9fdefff6f3f7;69e0f993f4731091155e2638;;3600;36,00;0;false;false;0;False;/1/menus/8/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
65;madonna_cucina;| Softs;Coca-Cola;691b1d42308a9fdefff70fa2;69e0fa1af4731091155e456f;KS;1200;12,00;0;false;false;0;False;/1/menus/8/menuItems/4/options/0;FONTE_VERIFICADA;PENDENTE;
66;madonna_cucina;| Softs;Coca-Cola Zero ;691b1d4e308a9fdefff710b5;69e0fa2bf4731091155e4b1c;KS;1200;12,00;0;false;false;0;False;/1/menus/8/menuItems/5/options/0;FONTE_VERIFICADA;PENDENTE;
67;madonna_cucina;| Softs;Suco de Uva Tinta Vila Pina;691b1bf2308a9fdefff6f0c6;69e0fa74f4731091155e5ac1;;2600;26,00;0;false;false;0;False;/1/menus/8/menuItems/6/options/0;FONTE_VERIFICADA;PENDENTE;
68;madonna_cucina;| Doses | Whisky;Chivas 12 anos;691b1dae308a9fdefff71978;69e0fad7f4731091155e772d;;5200;52,00;0;false;false;0;False;/1/menus/9/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
69;madonna_cucina;| Doses | Whisky;Chivas 18 anos ;691b1dbe308a9fdefff71b21;69e0fb88f4731091155ea6ee;;12800;128,00;0;false;false;0;False;/1/menus/9/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
70;madonna_cucina;| Doses | Whisky;Buchanas Deluxe 12;6924629e6c464a20549c0179;69e0fba0f4731091155eac8a;;5200;52,00;0;false;false;0;False;/1/menus/9/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
71;madonna_cucina;| Doses | Whisky Single Malt;Macallan 12 anos;691b1dcb308a9fdefff71cb0;69e0fcf3f4731091155ef9ef;;19800;198,00;0;false;false;0;False;/1/menus/10/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
72;madonna_cucina;| Doses | Whisky Single Malt;Macallan 15 anos ;691b1dd9308a9fdefff71d5c;69e0fd66f4731091155f106f;;45700;457,00;0;false;false;0;False;/1/menus/10/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
73;madonna_cucina;| Doses | Whisky Single Malt;Macallan 18 anos ;691b1de9308a9fdefff71e7c;69e0fd79f4731091155f1923;;62000;620,00;0;false;false;0;False;/1/menus/10/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
74;madonna_cucina;| Doses | Bourbon & Rye;Woodford Reserve;6924631d6c464a20549c0cbf;69e0fee8f4731091155f769e;;6200;62,00;0;false;false;0;False;/1/menus/11/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
75;madonna_cucina;| Doses | Cachaça;Princesa Isabel Balsamo e Jaqueira;6924633b6c464a20549c0ed1;69e0ff65f4731091155f9709;;4200;42,00;0;false;false;0;False;/1/menus/12/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
76;madonna_cucina;| Doses | Cachaça;Cachaça Princesa Isabel Prata Capital;692463596c464a20549c118e;69e0ff7cf4731091155f9def;;3800;38,00;0;false;false;0;False;/1/menus/12/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
77;madonna_cucina;| Doses | Rum;Rum Havana Club 7 Anos;692463766c464a20549c145d;69e0ffd2f4731091155fb6b4;;5600;56,00;0;false;false;0;False;/1/menus/13/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
78;madonna_cucina;| Doses | Rum;Rum Zacapa 23;6924638a6c464a20549c1937;69e0ffe2f4731091155fbe58;;7800;78,00;0;false;false;0;False;/1/menus/13/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
79;madonna_cucina;| Doses | Tequila;Don Julio 1942;691b1df7308a9fdefff72136;69e100e6f473109115600520;;32000;320,00;0;false;false;0;False;/1/menus/14/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
80;madonna_cucina;| Doses | Tequila;Tequila Don Julio Blanco;691b1d8a308a9fdefff71608;69e100fbf473109115600cac;;6600;66,00;0;false;false;0;False;/1/menus/14/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
81;madonna_cucina;| Doses | Tequila;Tequila Don Julio Reposado;691b1d9e308a9fdefff7177e;69e1010ef473109115601360;;9200;92,00;0;false;false;0;False;/1/menus/14/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
82;madonna_cucina;| Doses | Tequila;Tequila Don Julio Anejo;691b1d7d308a9fdefff71558;69e10120f47310911560190a;;11000;110,00;0;false;false;0;False;/1/menus/14/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
83;madonna_cucina;| Doses | Vodka;Grey Goose;692465ea6c464a20549c64b6;69e101d8380418a39fe9d66f;;4200;42,00;0;false;false;0;False;/1/menus/15/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
84;madonna_cucina;| Doses | Licores;Licor 43 ;691b1d6f308a9fdefff71444;69e10438f47310911560ccd2;;4200;42,00;0;false;false;0;False;/1/menus/16/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
85;madonna_cucina;| Doses | Licores;Disaronno;692465a26c464a20549c5cf9;69e10447f47310911560d042;;4800;48,00;0;false;false;0;False;/1/menus/16/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
86;madonna_cucina;| Doses | Licores;Lemoncello ;692465bb6c464a20549c5fea;69e1045cf47310911560d470;;3600;36,00;0;false;false;0;False;/1/menus/16/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
87;madonna_cucina;| Doses | Licores;Baileys;692465cd6c464a20549c61a1;69e10475f47310911560dd65;;3600;36,00;0;false;false;0;False;/1/menus/16/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
88;madonna_cucina;| Espumantes e Champagnes;Vallontano Brut;691b1e5a308a9fdefff72c9a;699ca40b41b53e197c36eb89;750ml;22700;227,00;0;false;false;0;False;/2/menus/0/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
89;madonna_cucina;| Espumantes e Champagnes;Vallontano Brut Rosé;691b1e6f308a9fdefff72df5;699ca7fc41b53e197c37a7c2;750ml;23300;233,00;0;false;false;0;False;/2/menus/0/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
90;madonna_cucina;| Espumantes e Champagnes;LH Zanini Nature;691b1e8c308a9fdefff73318;699ca89c41b53e197c37c3b7;750ml;33000;330,00;0;false;false;0;False;/2/menus/0/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
91;madonna_cucina;| Espumantes e Champagnes;Prosecco Cabert Extra Dry DOC;69dea1d558b41df729759a08;69dea1d558b41df729759a09;750ml;29900;299,00;0;false;false;0;False;/2/menus/0/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
92;madonna_cucina;| Espumantes e Champagnes;Franciacorta Cuvee Prestige Brut;69259f0f43da3d05216ad76d;699ca92941b53e197c37de0b;750ml;131600;1316,00;0;false;false;0;False;/2/menus/0/menuItems/4/options/0;FONTE_VERIFICADA;PENDENTE;
93;madonna_cucina;| Espumantes e Champagnes;Luis Pato Vinha Pan Brut Natrure;69de902b58b41df7297353a4;69de902b58b41df7297353a5;750ml;79500;795,00;0;false;false;0;False;/2/menus/0/menuItems/5/options/0;FONTE_VERIFICADA;PENDENTE;
94;madonna_cucina;| Espumantes e Champagnes;Krug Grande Cuvèe Brut;69288e2714f506c7fed2c1da;699ca95b41b53e197c37e8da;750ml;390000;3900,00;0;false;false;0;False;/2/menus/0/menuItems/6/options/0;FONTE_VERIFICADA;PENDENTE;
95;madonna_cucina;| Espumantes e Champagnes;Veuve Clicquot Brut;69372e1fd871d329d52bce43;69fe63a20148725e86e8c249;750ml;77200;772,00;0;false;false;0;False;/2/menus/0/menuItems/7/options/0;FONTE_VERIFICADA;PENDENTE;
96;madonna_cucina;| Espumantes e Champagnes;Cristal;69374b0127816f09fbb31151;69e135f5f47310911569155e;750ml;714500;7145,00;0;false;false;0;False;/2/menus/0/menuItems/8/options/0;FONTE_VERIFICADA;PENDENTE;
97;madonna_cucina;| Espumantes e Champagnes;Champagne Bollinger Special Cuvée Brut;69de8e2c58b41df72972fc28;69de8e2c58b41df72972fc29;750ml;196600;1966,00;0;false;false;0;False;/2/menus/0/menuItems/9/options/0;FONTE_VERIFICADA;PENDENTE;
98;madonna_cucina;| Espumantes e Champagnes;Louis Roederer Collection 242;69e12425f4731091156620a3;69e135aef473109115690af8;750ml;99900;999,00;0;false;false;0;False;/2/menus/0/menuItems/10/options/0;FONTE_VERIFICADA;PENDENTE;
99;madonna_cucina;| Brancos;Vallontano Blanc;6925a00443da3d05216aeb0d;699ca7cf41b53e197c379d40;750ml;25300;253,00;0;false;false;0;False;/2/menus/1/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
100;madonna_cucina;| Brancos;Tistin Roero;6925a05f43da3d05216af121;69deb2b058b41df729796de1;750ml;55400;554,00;0;false;false;0;False;/2/menus/1/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
101;madonna_cucina;| Brancos; Regaleali Bianco;6925a25a43da3d05216b1a13;699ca0185009c46ed73bf571;750ml;34700;347,00;0;false;false;0;False;/2/menus/1/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
102;madonna_cucina;| Brancos;Mandolás;6925a2c170e886e93e2062a6;699caaff41b53e197c384834;750ml;98200;982,00;0;false;false;0;False;/2/menus/1/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
103;madonna_cucina;| Brancos;Le Cabanon des Alexandrins ;6925a93470e886e93e2119ce;699ca6e941b53e197c377227;750ml;38200;382,00;0;false;false;0;False;/2/menus/1/menuItems/4/options/0;FONTE_VERIFICADA;PENDENTE;
104;madonna_cucina;| Brancos;Soalheiro Allo;6925aaf070e886e93e215e20;699cabea41b53e197c388719;750ml;35800;358,00;0;false;false;0;False;/2/menus/1/menuItems/5/options/0;FONTE_VERIFICADA;PENDENTE;
105;madonna_cucina;| Brancos;Tapada de Coelheiros Blanc;6925ab6070e886e93e216df3;699cac1541b53e197c388e6a;750ml;115300;1153,00;0;false;false;0;False;/2/menus/1/menuItems/6/options/0;FONTE_VERIFICADA;PENDENTE;
106;madonna_cucina;| Brancos;Robertson Blanc;6925b1182072d85c974f4f05;6929cd60bd0d1b1db3b07a9d;750ml;19600;196,00;0;false;false;0;False;/2/menus/1/menuItems/7/options/0;FONTE_VERIFICADA;PENDENTE;
107;madonna_cucina;| Brancos;Luca Blanc;6925b1672072d85c974f58be;699cacd8f502be4f0c072bfa;750ml;58500;585,00;0;false;false;0;False;/2/menus/1/menuItems/8/options/0;FONTE_VERIFICADA;PENDENTE;
108;madonna_cucina;| Brancos;Fonteleoni Vernaccia di San Gimignano;6928a5712b69fb50e6727936;699ca12c5009c46ed73c36cc;750ml;43400;434,00;0;false;false;0;False;/2/menus/1/menuItems/9/options/0;FONTE_VERIFICADA;PENDENTE;
109;madonna_cucina;| Brancos;Mastroberardino Greco di Tufo;6928ac0a2b69fb50e673888c;699caa8741b53e197c382f32;750ml;65700;657,00;0;false;false;0;False;/2/menus/1/menuItems/10/options/0;FONTE_VERIFICADA;PENDENTE;
110;madonna_cucina;| Brancos;Hochheimer Guts QBA Troken;6928aee9816de541a52184a1;699caacd41b53e197c383d42;750ml;55800;558,00;0;false;false;0;False;/2/menus/1/menuItems/11/options/0;FONTE_VERIFICADA;PENDENTE;
111;madonna_cucina;| Brancos;La Petitte Perrière;6928b9ce377ecbfbcdd560e7;699ca75c41b53e197c378329;750ml;29900;299,00;0;false;false;0;False;/2/menus/1/menuItems/12/options/0;FONTE_VERIFICADA;PENDENTE;
112;madonna_cucina;| Brancos;Dopff Au Moulin ;6928bc68377ecbfbcdd5f80a;699cab2e41b53e197c38575b;750ml;48200;482,00;0;false;false;0;False;/2/menus/1/menuItems/13/options/0;FONTE_VERIFICADA;PENDENTE;
113;madonna_cucina;| Brancos;Chablis Tete d'Or;6929b97e5597d385b4960039;699c9f205009c46ed73bbac0;750ml;128300;1283,00;0;false;false;0;False;/2/menus/1/menuItems/14/options/0;FONTE_VERIFICADA;PENDENTE;
114;madonna_cucina;| Brancos;Mâcon-Villages;6929bc51be21817255b66bf7;699ca4e141b53e197c3716f3;750ml;62000;620,00;0;false;false;0;False;/2/menus/1/menuItems/15/options/0;FONTE_VERIFICADA;PENDENTE;
115;madonna_cucina;| Brancos;Viña Bujanda Blanc;6929c1332a0a0c78e487d3e8;699cabbf41b53e197c387d03;750ml;36700;367,00;0;false;false;0;False;/2/menus/1/menuItems/16/options/0;FONTE_VERIFICADA;PENDENTE;
116;madonna_cucina;| Brancos;Basa Blanc;6929c28f2a0a0c78e4882e78;699ca67341b53e197c375d1c;750ml;46000;460,00;0;false;false;0;False;/2/menus/1/menuItems/17/options/0;FONTE_VERIFICADA;PENDENTE;
117;madonna_cucina;| Brancos;Y Series ;6929ca79c39743f19c5890c2;699cac5441b53e197c389c25;750ml;52300;523,00;0;false;false;0;False;/2/menus/1/menuItems/18/options/0;FONTE_VERIFICADA;PENDENTE;
118;madonna_cucina;| Brancos;Barista ;6929cce4bd0d1b1db3b0590c;699caca841b53e197c38aa1d;750ml;44200;442,00;0;false;false;0;False;/2/menus/1/menuItems/19/options/0;FONTE_VERIFICADA;PENDENTE;
119;madonna_cucina;| Brancos;El Enemigo Blanc;6929cf3fbd0d1b1db3b0eb2b;699cad2058fc9226a5fb557f;750ml;48500;485,00;0;false;false;0;False;/2/menus/1/menuItems/20/options/0;FONTE_VERIFICADA;PENDENTE;
120;madonna_cucina;| Brancos;Château Latour-Martillac Blanc ;692cb78c157a8dc15dedd29d;692cb78c157a8dc15dedd29e;750ml;178700;1787,00;0;false;false;0;False;/2/menus/1/menuItems/21/options/0;FONTE_VERIFICADA;PENDENTE;
121;madonna_cucina;| Brancos;MONOGRAPH MOSCHOFILERO;69de90a158b41df729736b2b;69de90a158b41df729736b2c;750ml;37200;372,00;0;false;false;0;False;/2/menus/1/menuItems/22/options/0;FONTE_VERIFICADA;PENDENTE;
122;madonna_cucina;| Brancos;Deux Montille Puligny Montrachet La Garenne;69de91c858b41df72973a2fe;69de91c858b41df72973a2ff;750ml;356600;3566,00;0;false;false;0;False;/2/menus/1/menuItems/23/options/0;FONTE_VERIFICADA;PENDENTE;
123;madonna_cucina;| Brancos;"Gaierhof ""Nosiola"" DOC";69dea2d958b41df72975c2f8;69dea2d958b41df72975c2f9;750ml;26500;265,00;0;false;false;0;False;/2/menus/1/menuItems/24/options/0;FONTE_VERIFICADA;PENDENTE;
124;madonna_cucina;| Brancos;Marani Bianco;69dea30a58b41df72975cd4e;69dea30a58b41df72975cd4f;750ml;31000;310,00;0;false;false;0;False;/2/menus/1/menuItems/25/options/0;FONTE_VERIFICADA;PENDENTE;
125;madonna_cucina;| Brancos;Vinho Branco La Ciocca Malvasia DOC;69dea34058b41df72975d76e;69dea34058b41df72975d76f;750ml;22300;223,00;0;false;false;0;False;/2/menus/1/menuItems/26/options/0;FONTE_VERIFICADA;PENDENTE;
126;madonna_cucina;| Brancos;Guerriero Bianco IGT;69dea7d558b41df729769724;69dea7d558b41df729769725;750ml;29300;293,00;0;false;false;0;False;/2/menus/1/menuItems/27/options/0;FONTE_VERIFICADA;PENDENTE;
127;madonna_cucina;| Brancos;Abadia De San Campio;69e12541f4731091156645f5;69e12541f4731091156645f6;750ml;44700;447,00;0;false;false;0;False;/2/menus/1/menuItems/28/options/0;FONTE_VERIFICADA;PENDENTE;
128;madonna_cucina;| Brancos;Tarapaca Gran Reserva Sauvignon Blanc;69e12586c31aa4aaf9092f02;69e12586c31aa4aaf9092f03;750ml;28600;286,00;0;false;false;0;False;/2/menus/1/menuItems/29/options/0;FONTE_VERIFICADA;PENDENTE;
129;madonna_cucina;| Rosés;Regaleali Le Rose IGT;6925b796774d3e8a0e837629;699cad7958fc9226a5fb5ace;750ml;34400;344,00;0;false;false;0;False;/2/menus/2/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
130;madonna_cucina;| Rosés;Bayanegra Rose;6929d4db529e64ebe3b2b2ca;6929d4db529e64ebe3b2b2cb;750ml;18900;189,00;0;false;false;0;False;/2/menus/2/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
131;madonna_cucina;| Rosés;Coelheiros Rosado;6929d6f3cbfbebea83b50b0b;699cadb458fc9226a5fb638b;750ml;45400;454,00;0;false;false;0;False;/2/menus/2/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
132;madonna_cucina;| Rosés;Studio By Miraval;6929d8eccbfbebea83b56851;699cade858fc9226a5fb6dcc;750ml;52300;523,00;0;false;false;0;False;/2/menus/2/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
133;madonna_cucina;| Rosés;"""A"" D'Aaussières";6929dbae2a53628c9afb2bb4;699ca72e41b53e197c377c2a;750ml;31700;317,00;0;false;false;0;False;/2/menus/2/menuItems/4/options/0;FONTE_VERIFICADA;PENDENTE;
134;madonna_cucina;| Rosés;Tenuta Delle Terre Nere Etna Rosato;69de933358b41df72973d2dc;69de933358b41df72973d2dd;750ml;0;0,00;0;false;false;0;False;/2/menus/2/menuItems/5/options/0;FONTE_VERIFICADA;PENDENTE;
135;madonna_cucina;| Rosés;"Gaieorhf ""Schiava"" IGT Rosato ";69dea8ae58b41df72976cf4b;69dea8ae58b41df72976cf4c;750ml;27500;275,00;0;false;false;0;False;/2/menus/2/menuItems/6/options/0;FONTE_VERIFICADA;PENDENTE;
136;madonna_cucina;| Rosés;Mabilia Ciro DOC Rosato;69dea970285ea768b135dc39;69dea970285ea768b135dc3a;750ml;30300;303,00;0;false;false;0;False;/2/menus/2/menuItems/7/options/0;FONTE_VERIFICADA;PENDENTE;
137;madonna_cucina;| Rosés;Domaine Ott Clos Mireille Cotes De Provence Rose;69e125c3f47310911566567c;69e13642f473109115692235;750ml;86300;863,00;0;false;false;0;False;/2/menus/2/menuItems/8/options/0;FONTE_VERIFICADA;PENDENTE;
138;madonna_cucina;| Tintos;Chryseia ;692758a03d3494e4328921c9;699e1c6790867999b1bf50ef;750ml;262500;2625,00;0;false;false;0;False;/2/menus/3/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
139;madonna_cucina;| Tintos;Barbaresco DOCG ;6929e79ea111687529f0ab15;6929e79ea111687529f0ab16;750ml;141000;1410,00;0;false;false;0;False;/2/menus/3/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
140;madonna_cucina;| Tintos;Famille Perrin Côtes-du-Rhône Resereve 1,5L;6927539e678923ece85fcf88;699cb04f639716c7a2b68acb;Magnum;89900;899,00;0;false;false;0;False;/2/menus/3/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
141;madonna_cucina;| Tintos;Dehesa La Granja;692753d0678923ece85fdd20;699c9f5c5009c46ed73bc5b7;750ml;45400;454,00;0;false;false;0;False;/2/menus/3/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
142;madonna_cucina;| Tintos;Pintia;692753f2678923ece85fe5e6;692b246840b557edda072c0a;750ml;237000;2370,00;0;false;false;0;False;/2/menus/3/menuItems/4/options/0;FONTE_VERIFICADA;PENDENTE;
143;madonna_cucina;| Tintos;"Corriente ""Bueno de Diario""";69275561a1f713322ef3dc05;699c9ed75009c46ed73baacd;750ml;45400;454,00;0;false;false;0;False;/2/menus/3/menuItems/5/options/0;FONTE_VERIFICADA;PENDENTE;
